City,State,ZIP,ZillowID,sqft,latitude,lontitude,Price,ZPrice,ZRent,Income,Poverty,Degree,CostofLiving
San Francisco,CA,94109,2096481501,37.789458,-122.423562,1239,1986000,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,2094750924,37.794016,-122.41662,1225,5340,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,2103222025,37.787407,-122.417631,480,2295,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,2094759969,37.793727,-122.424709,,5600,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,2104126894,37.790787,-122.414253,,7200,1747146,6800,66276,13.7,63.2,159.9
San Francisco,CA,94109,2094760152,37.78959,-122.42295,743,899000,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,2096566251,37.788107,-122.423346,1266,1690000,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,2110517671,37.792901,-122.429118,1000,4700,1130941,4575,66276,13.7,63.2,159.9
San Francisco,CA,94109,2094763166,37.797235,-122.419504,,4000,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,2100720924,37.792315,-122.423738,,2595,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,2095390537,37.78708,-122.427698,,2500,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,2105190739,37.803676,-122.423127,,2200,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,89238348,37.787807,-122.428291,934,899000,994172,4046,66276,13.7,63.2,159.9
San Francisco,CA,94109,15069101,37.789945,-122.412735,802,775000,770324,3800,66276,13.7,63.2,159.9
San Francisco,CA,94109,2094773734,37.78927,-122.42121,1132,1422000,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,2094773736,37.78927,-122.42121,742,1019500,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,2094773735,37.78927,-122.42121,1398,1759500,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,2096183976,37.789458,-122.423562,989,1212000,,,66276,13.7,63.2,159.9
San Francisco,CA,94109,63196182,37.793557,-122.414604,,2595000,2683539,8148,66276,13.7,63.2,159.9
San Francisco,CA,94109,2100953629,37.787477,-122.417094,,2450,1030636,2550,66276,13.7,63.2,159.9
San Francisco,CA,94109,15076330,37.78675,-122.424235,1316,1250000,1321347,4695,66276,13.7,63.2,159.9
San Francisco,CA,94109,2096481501,37.789458,-122.423562,1239,1986000,,,66276,13.7,63.2,159.9
