ParkName,ParkType,ParkServiceArea,PSAManager,email,Number,Zipcode,Acreage,SupDist,ParkID,address,city_state,lat_long,geometry,area,length,po_name,state,zip
10TH AVE/CLEMENT MINI PARK,Mini Park,PSA 1,"Elder, Steve",steven.elder@sfgov.org,(415) 601-6501,94118.0,0.66,1.0,156.0,351 9th Ave,"San Francisco, CA","(37.78184397, -122.46809908)",POINT (-122.46809908 37.78184397),46128646.0967,31063.6615541,SAN FRANCISCO,CA,94118
ANGELO J. ROSSI PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Elder, Steve",steven.elder@sfgov.org,(415) 601-6501,94118.0,6.47,1.0,105.0,2 Willard North St,"San Francisco, CA","(37.77874186, -122.45745402)",POINT (-122.45745402 37.77874186),46128646.0967,31063.6615541,SAN FRANCISCO,CA,94118
LAUREL HILL PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,94118.0,1.47,2.0,107.0,251 Euclid Ave,"San Francisco, CA","(37.78393678, -122.45093931)",POINT (-122.45093931 37.78393678),46128646.0967,31063.6615541,SAN FRANCISCO,CA,94118
MOUNTAIN LAKE PARK,Neighborhood Park or Playground,PSA 1,"Elder, Steve",steven.elder@sfgov.org,(415) 601-6501,94118.0,12.79,2.0,102.0,1 11th Ave,"San Francisco, CA","(37.78724257, -122.4690454)",POINT (-122.4690454 37.78724257),46128646.0967,31063.6615541,SAN FRANCISCO,CA,94118
MURIEL LEFF MINI PARK,Mini Park,PSA 1,"Elder, Steve",steven.elder@sfgov.org,(415) 601-6501,94118.0,0.21,1.0,155.0,7th Ave between Geary,"San Francisco, CA","(37.78006464, -122.46500795)",POINT (-122.46500795 37.78006464),46128646.0967,31063.6615541,SAN FRANCISCO,CA,94118
PRESIDIO HEIGHTS PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,94118.0,0.44,2.0,109.0,Clay,"San Francisco, CA","(37.78847078, -122.4495972)",POINT (-122.4495972 37.78847078),46128646.0967,31063.6615541,SAN FRANCISCO,CA,94118
15TH AVENUE STEPS,Mini Park,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94122.0,0.26,7.0,185.0,15th Ave b w Kirkham,"San Francisco, CA","(37.75956493, -122.47226783)",POINT (-122.47226783 37.75956493),115396029.783,52028.9664001,SAN FRANCISCO,CA,94122
GOLDEN GATE PARK,Regional Park,Golden Gate Park,"Koch-Gonzalez, Gloria",gloria.koch-gonzalez@sfgov.org,(415) 831-6307,94117.0,1031.98,1.0,94.0,Stanyan,"San Francisco, CA","(37.76905891, -122.48094821)",POINT (-122.48094821 37.76905891),115396029.783,52028.9664001,SAN FRANCISCO,CA,94122
GRAND VIEW OPEN SPACE,Neighborhood Park or Playground,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94122.0,0.65,7.0,12910.0,15th Ave,"San Francisco, CA","(37.75507227, -122.47235155)",POINT (-122.47235155 37.75507227),115396029.783,52028.9664001,SAN FRANCISCO,CA,94122
GRAND VIEW PARK,Neighborhood Park or Playground,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,94122.0,3.98,7.0,92.0,Moraga,"San Francisco, CA","(37.75646571, -122.47180128)",POINT (-122.47180128 37.75646571),115396029.783,52028.9664001,SAN FRANCISCO,CA,94122
LOWER GREAT HIGHWAY,Parkway,Golden Gate Park,"Deasy, Jon",jon.deasy@sfgov.org,(415) 831-6307,94122.0,21.1,4.0,163.0,Great Highway,"San Francisco, CA","(37.74928062, -122.50817528)",POINT (-122.50817528 37.74928062),115396029.783,52028.9664001,SAN FRANCISCO,CA,94122
SUNSET PLAYGROUND,Neighborhood Park or Playground,PSA 4,"Sheets, Robert",robert.sheets@sfgov.org,(415) 235-4576,94122.0,3.29,4.0,93.0,2201 Lawton St,"San Francisco, CA","(37.75658875, -122.48684698)",POINT (-122.48684698 37.75658875),115396029.783,52028.9664001,SAN FRANCISCO,CA,94122
24TH/YORK MINI PARK,Mini Park,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,94110.0,0.12,9.0,51.0,24th,"San Francisco, CA","(37.75306042, -122.40857543)",POINT (-122.40857543 37.75306042),66887406.7173,41644.5510172,SAN FRANCISCO,CA,94110
ALIOTO MINI PARK,Mini Park,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,94110.0,0.16,9.0,62.0,20th,"San Francisco, CA","(37.75890196, -122.41821702)",POINT (-122.41821702 37.75890196),66887406.7173,41644.5510172,SAN FRANCISCO,CA,94110
