,Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,Source Zipcode,Class Code,PBC Code,Business Start Date,Location Start Date,Mail Address,Address,City_State_Zipcode,lat_long,geometry,area,length,po_name,state,zip
0,0477020-04-001,477020,The Cavalier Sf Llc,The Cavalier Lobby Bar,55 5th St,94103,8,5812,03/01/2013 12:00:00 AM,04/26/2013 12:00:00 AM,360 Jessie St.,55 5TH ST,"San Francisco, CA 94103","(37.783206, -122.407093)",POINT (-122.407093 37.783206),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
27,0019235-01-001,19235,Sue Mills Inc,Sue Mills Inc,1830 Harrison St,94103,8,5800,10/01/1968 12:00:00 AM,11/28/2005 12:00:00 AM,1830 Harrison St,1830 HARRISON ST,"San Francisco, CA 94103","(37.768055, -122.413378)",POINT (-122.413378 37.768055),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
28,0019235-02-001,19235,Sue Mills Inc,Mills Schoolwear,1830 Harrison St,94103,8,5800,10/01/1968 12:00:00 AM,11/21/2006 12:00:00 AM,1830 Harrison St,1830 HARRISON ST,"San Francisco, CA 94103","(37.768055, -122.413378)",POINT (-122.413378 37.768055),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
55,0053101-01-005,53101,Gap Stores Inc,Gap The #113,890 Market St,94102,8,5800,12/10/1970 12:00:00 AM,01/01/2009 12:00:00 AM,Po Box 27806,890 MARKET ST,"San Francisco, CA 94102","(37.784666, -122.407225)",POINT (-122.407225 37.784666),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
61,0053101-18-001,53101,Gap Stores Inc,Gap The #150,890 Market St,94102,8,5800,12/10/1970 12:00:00 AM,09/29/1993 12:00:00 AM,Po Box 27806,890 MARKET ST,"San Francisco, CA 94102","(37.784666, -122.407225)",POINT (-122.407225 37.784666),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
73,0056163-02-001,56163,Conard House Inc,Conard House Inc,149 9th St 430,94103,8,5800,02/11/1994 12:00:00 AM,01/01/1997 12:00:00 AM,1385 Mission St 200,149 9TH ST,"San Francisco, CA 94103","(37.775496, -122.413805)",POINT (-122.413805 37.775496),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
74,0056163-04-001,56163,Conard House Inc,Conard 9th Street Cafe,160 9th St,94103,8,5800,02/11/1994 12:00:00 AM,03/30/1998 12:00:00 AM,1385 Mission St 200,160 9TH ST,"San Francisco, CA 94103","(37.775451, -122.413749)",POINT (-122.413749 37.775451),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
82,0060562-01-001,60562,Harman Gardin Inc,Kentucky Fried Chicken,200 Duboce Ave,94103,8,5800,09/24/1970 12:00:00 AM,09/24/1970 12:00:00 AM,5544 S Green St,200 DUBOCE AVE,"San Francisco, CA 94103","(37.769711, -122.424816)",POINT (-122.424816 37.769711),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
93,0064317-07-001,64317,Montarello Franco,Little Joes Baby Joes,1106 Market St,94102,8,3079,06/01/2011 12:00:00 AM,06/01/2011 12:00:00 AM,0000 Undeliverable Mail,1106 MARKET ST,"San Francisco, CA 94102","(37.780659, -122.412307)",POINT (-122.412307 37.780659),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
124,0093815-01-001,93815,Abc Jewelry Imports Inc,Abc Jewelry Imports,101 Utah St 132,94103,8,5800,01/01/1976 12:00:00 AM,01/01/1976 12:00:00 AM,101 Utah St #132,101 UTAH ST,"San Francisco, CA 94103","(37.767893, -122.406752)",POINT (-122.406752 37.767893),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
