Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,lat_long,geometry,area,length,po_name,state,zip
Alamo Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS001,5,10,PS,38684786040695,"250 23RD AVE, San Francisco, CA 94121",1,6075,SAN FRANCISCO,"(37.7830048, -122.4822998)",POINT (-122.4822998 37.7830048),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
Argonne Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS005,5,10,PS,38684786040737,"680 18TH AVE, San Francisco, CA 94121",1,6075,SAN FRANCISCO,"(37.7753067, -122.4763107)",POINT (-122.4763107 37.7753067),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
Lafayette Elementary School,SFUSD,-2,5,PK-5,USD PreK-5                                   ,PS058,3,10,PS,38684786041305,"4545 ANZA ST, San Francisco, CA 94121",1,6075,SAN FRANCISCO,"(37.7770691, -122.4968872)",POINT (-122.4968872 37.7770691),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
Presidio Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS092,11,13,PS,38684786062079,"450 30TH AVE, San Francisco, CA 94121",1,6075,SAN FRANCISCO,"(37.7808647, -122.4896240)",POINT (-122.489624 37.7808647),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
"Washington, George Washington High School",SFUSD,9,12,9-12,USD Grades 9-12,PS121,14,17,PS,38684783839081,"600 32ND AVE, San Francisco, CA 94121",1,6075,SAN FRANCISCO,"(37.7779045, -122.4910126)",POINT (-122.4910126 37.7779045),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
Bais Menachem Yeshiva Day School,Private,0,8,K-8,Independent / Private,IND212,5,13,IND,NOT_FOUND,"834 28TH AVE, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"(37.7736130, -122.4871521)",POINT (-122.4871521 37.773613),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
Katherine Delmar Burke School,Private,0,8,K-8,Independent / Private,IND255,5,13,IND,38684786981328,"7070 CALIFORNIA ST, SAN FRANCISCO, CA 94121",2,6075,SAN FRANCISCO,"(37.7842827, -122.4933243)",POINT (-122.4933243 37.7842827),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
Kittredge School,Private,0,8,K-8,Independent / Private,IND258,5,13,IND,38684786981336,"2355 LAKE ST, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"(37.7855072, -122.4849548)",POINT (-122.4849548 37.7855072),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
Mother Goose School,Private,-2,0,PK-K,Independent / Private,IND277,3,5,IND,380504982,"334 28TH AVE, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"(37.7830238, -122.4878387)",POINT (-122.4878387 37.7830238),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
Saint John Of San Francisco Orthodox Academy,Private,0,12,K-12,Independent / Private,IND299,5,17,IND,38684787096191,"6210 GEARY BLVD, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"(37.7803268, -122.4863358)",POINT (-122.4863358 37.7803268),60790379.5089,34650.0403968,SAN FRANCISCO,CA,94121
