Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,Source Zipcode,Class Code,PBC Code,Business Start Date,Location Start Date,Mail Address,Business Location
0477020-04-001,0477020,The Cavalier Sf Llc,The Cavalier Lobby Bar,55 5th St,94103,08,5812,03/01/2013 12:00:00 AM,04/26/2013 12:00:00 AM,360 Jessie St.,"55 5TH ST
San Francisco, CA 94103
(37.783206, -122.407093)"
0473469-02-001,0473469,Aviles Christina M,Antidote,1346 41st Ave 3,94122,08,3079,10/09/2012 12:00:00 AM,12/06/2013 12:00:00 AM,1346 41st Ave #3,"1346 41ST AVE
San Francisco, CA 94122
(37.761607, -122.500628)"
0154077-04-001,0154077,St Francis Memorial Hospital,St Francis Hospital,900 Hyde St,94109,08,5800,01/01/1986 12:00:00 AM,01/01/1986 12:00:00 AM,900 Hyde Street,"900 HYDE ST
San Francisco, CA 94109
(37.789561, -122.417112)"
0190628-05-001,0190628,Natali Inc,San Francisco Badlands,4121 18th St,94114,08,5800,04/07/1989 12:00:00 AM,01/31/1999 12:00:00 AM,4121 18th St,"4121 18TH ST
San Francisco, CA 94114
(37.760859, -122.43552)"
0324118-01-001,0324118,Cajun Pacific,Cajun Pacific,4542 Irving St,94122,08,5800,02/05/1999 12:00:00 AM,02/05/1999 12:00:00 AM,4542 Irving St,"4542 IRVING ST
San Francisco, CA 94122
(37.762266, -122.506896)"
0488275-03-001,0488275,Sf Treat Lessee Inc,Hotel Vitale,8 Mission St,94105,08,5800,04/02/2014 12:00:00 AM,04/02/2014 12:00:00 AM,8 Mission St,"8 MISSION ST
San Francisco, CA 94105
(37.79339, -122.392993)"
0345419-01-001,0345419,Gentilia Inc,North Beach Pizza - Pier 39,Pier 39 Space M211,94119,08,5800,04/30/2001 12:00:00 AM,04/30/2001 12:00:00 AM,3054 Taraval St,"M211 San
Francisco, CA 94119
"
0364643-35-001,0364643,Sodexo America Llc,Barclays,400 Howard St,94105,08,5800,11/18/2002 12:00:00 AM,04/26/2008 12:00:00 AM,Po Box 352,"400 HOWARD ST
San Francisco, CA 94105
(37.789226, -122.39513)"
0424341-02-001,0424341,2e Shqair Inc,Mid City Market,868 Geary St,94109,08,5800,12/01/2007 12:00:00 AM,04/24/2008 12:00:00 AM,868 Geary St,"868 GEARY ST
San Francisco, CA 94109
(37.786168, -122.417605)"
0458980-04-001,0458980,Musleh Michael Abu-Ali Isam,Cole Valley Cafe,701 Cole St,94117,08,5812,04/01/2011 12:00:00 AM,04/01/2013 12:00:00 AM,1673 Haight Street,"701 COLE ST
San Francisco, CA 94117
(37.768489, -122.450508)"
