location,lat,lon,safety,sanitation,peace_quiet,appearance,children_friendly,greenery,walking_condition,restaurants,coffee,nightlife,dog_friendly,construction
0,37.78866,-122.39346,1,1,0,0,0,0,0,0,0,0,0,1
1,37.78882,-122.39559,1,1,0,0,0,0,1,1,1,1,0,0
2,37.78255,-122.4036,1,1,0,0,0,0,1,0,0,0,1,0
3,37.77408,-122.41414,1,1,1,0,0,0,0,1,1,1,1,0
4,37.77092,-122.41286,0,0,0,0,0,0,1,0,0,1,0,0
5,37.76931,-122.41059,0,0,0,0,0,0,0,0,0,1,0,1
6,37.77056,-122.40315,1,1,0,1,1,0,1,1,1,0,1,1
7,37.77049,-122.39624,1,0,1,1,1,1,1,0,1,0,1,1
8,37.76697,-122.39299,1,1,0,0,0,0,0,0,0,0,0,1
9,37.76653,-122.396,1,1,0,1,1,0,1,0,0,0,0,0
10,37.76289,-122.39656,1,1,1,1,1,1,0,1,0,0,1,0
11,37.76004,-122.39606,1,1,1,1,1,1,0,0,0,0,1,0
12,37.75703,-122.39306,0,0,0,0,1,0,0,0,0,0,0,1
13,37.75452,-122.39524,0,0,0,0,0,0,0,0,0,0,0,1
14,37.75736,-122.38815,0,1,0,0,0,0,1,1,1,0,1,1
15,37.75262,-122.38672,0,0,1,0,0,0,0,0,0,0,0,0
16,37.74603,-122.38692,0,1,0,0,0,1,1,0,0,0,1,0
17,37.74319,-122.3879,1,1,0,1,0,1,1,1,1,0,1,1
18,37.73889,-122.38954,1,1,0,0,1,1,1,1,1,0,1,0
19,37.73622,-122.38371,1,1,1,1,1,1,1,0,0,0,1,0
20,37.73187,-122.37937,1,1,1,1,1,1,1,0,0,0,1,0
21,37.7304,-122.38279,1,0,0,1,1,1,0,0,0,0,1,1
22,37.72684,-122.38615,0,0,1,0,0,0,0,0,0,0,1,0
23,37.72239,-122.38985,0,0,1,0,0,0,0,0,0,0,1,0
24,37.72127,-122.39406,0,0,1,0,1,0,0,0,0,0,0,0
25,37.72242,-122.39562,0,0,0,0,0,1,0,0,0,0,0,0
26,37.72602,-122.40295,0,1,0,1,0,0,1,1,1,1,1,0
27,37.72761,-122.40366,1,1,0,0,0,0,1,1,1,1,1,0
28,37.73363,-122.40515,1,1,1,1,1,0,1,1,1,1,1,0
29,37.72882,-122.41522,1,1,1,0,1,1,1,0,0,0,1,0
30,37.72745,-122.41452,1,1,1,1,1,1,1,0,0,0,1,0
31,37.72728,-122.41414,1,1,1,1,1,1,0,0,0,0,1,0
32,37.73251,-122.41667,1,1,1,1,1,1,0,0,0,0,1,0
33,37.73091,-122.42559,0,1,0,0,1,0,0,0,0,0,1,0
34,37.73302,-122.42509,1,1,0,1,1,1,1,0,0,0,1,0
35,37.73438,-122.42291,1,1,1,1,1,1,1,0,0,0,1,0
36,37.73517,-122.41702,1,1,1,1,1,1,1,0,0,0,1,0
37,37.73489,-122.41566,1,1,1,1,1,1,0,0,0,0,1,0
38,37.73881,-122.41463,1,1,1,1,1,1,1,1,1,0,1,0
39,37.7393,-122.41857,1,1,1,1,1,1,1,1,1,0,1,0
40,37.74116,-122.42274,0,0,0,0,0,0,1,1,1,1,1,0
41,37.74224,-122.42429,1,1,1,1,1,1,1,1,0,0,1,0
42,37.74748,-122.42466,1,1,1,1,1,1,0,0,0,0,1,0
43,37.75025,-122.42493,1,1,1,1,1,1,0,0,0,0,1,0
44,37.75655,-122.42572,1,1,1,1,1,1,0,0,0,0,1,0
45,37.75631,-122.43098,1,1,1,1,1,1,0,0,0,0,1,0
46,37.75617,-122.43397,1,1,0,1,0,0,1,1,1,1,1,0
47,37.76201,-122.43511,1,1,0,0,0,0,1,1,1,1,1,0
48,37.7614,-122.43958,1,1,1,0,1,1,1,0,0,0,1,0
49,37.76077,-122.43746,1,1,1,0,1,1,1,1,1,1,1,0
50,37.74932,-122.43975,1,1,1,1,1,1,0,0,0,0,1,0
51,37.75223,-122.43465,1,1,1,1,1,1,1,1,1,0,1,0
52,37.74785,-122.43601,1,1,1,1,1,1,1,0,0,0,1,0
53,37.7456,-122.4353,1,1,1,1,1,1,0,0,0,0,1,0
54,37.74212,-122.4353,1,1,1,1,1,1,0,0,0,0,1,0
55,37.74676,-122.42846,1,1,1,0,1,1,1,1,1,0,1,0
56,37.7415,-122.42424,1,1,0,0,1,1,1,0,0,0,1,0
57,37.72982,-122.43946,1,1,0,0,0,0,1,1,1,0,1,0
58,37.72777,-122.44189,1,1,1,1,1,1,1,0,0,0,1,0
59,37.72834,-122.45103,1,1,1,1,1,1,1,0,0,0,1,0
60,37.73019,-122.45421,1,1,1,1,1,1,1,0,0,0,1,0
61,37.73451,-122.45791,1,1,1,1,1,1,1,0,0,0,1,0
62,37.72935,-122.46155,1,1,1,1,1,1,1,0,0,0,1,0
63,37.72749,-122.46643,1,1,0,1,1,1,1,0,0,0,1,0
64,37.72682,-122.47233,1,1,0,1,1,1,1,1,1,0,1,0
65,37.727,-122.47569,1,1,0,1,1,0,1,1,1,0,1,0
66,37.72084,-122.47607,1,1,0,0,1,0,1,1,1,1,1,0
67,37.72204,-122.48253,1,1,1,1,1,1,1,0,0,0,1,1
68,37.72981,-122.48708,1,1,0,0,1,1,1,0,0,0,1,0
69,37.73668,-122.49245,1,1,1,0,1,0,1,0,0,0,1,0
70,37.74048,-122.49128,1,1,1,0,1,1,1,0,0,0,1,0
71,37.74075,-122.48536,1,1,1,0,1,1,1,1,1,0,1,0
72,37.74256,-122.48428,1,1,1,0,1,1,1,1,1,0,1,0
73,37.74455,-122.48529,1,1,1,1,1,1,1,0,0,0,1,0
74,37.74409,-122.4949,1,1,1,1,1,0,1,0,0,0,1,0
75,37.74811,-122.49969,1,1,1,0,1,0,1,0,0,0,1,1
76,37.75315,-122.50224,1,1,1,1,1,0,1,0,0,0,1,0
77,37.75302,-122.50522,1,1,1,1,1,0,1,1,1,0,1,0
77,37.75509,-122.49819,1,1,1,0,1,0,1,0,0,0,1,0
79,37.75351,-122.49281,1,1,1,0,1,0,1,1,1,0,1,0
80,37.75522,-122.48944,1,1,1,1,1,0,1,1,1,0,1,0
81,37.76109,-122.48981,1,1,1,1,1,0,1,1,1,0,1,1
82,37.7642,-122.49115,1,1,1,1,1,1,1,1,0,0,1,0
83,37.7721,-122.50346,1,1,1,1,1,1,1,0,0,0,1,0
84,37.77549,-122.5023,1,1,1,0,1,0,1,1,0,0,1,1
85,37.7757,-122.49753,1,1,1,0,1,0,1,1,1,0,1,1
86,37.77594,-122.49231,1,1,1,0,1,1,1,1,0,0,1,0
87,37.77982,-122.48926,1,1,1,0,1,0,1,1,0,0,1,0
88,37.78196,-122.48588,1,1,1,0,1,0,1,1,1,1,1,0
89,37.78583,-122.48215,1,1,1,1,1,1,1,0,1,0,1,0
90,37.78621,-122.47503,1,1,1,0,1,1,1,0,0,0,1,0
91,37.78647,-122.46926,1,1,1,1,1,1,1,0,0,0,1,0
92,37.78683,-122.46122,1,1,1,1,1,0,1,0,0,0,1,0
93,37.78561,-122.45592,1,1,1,1,1,1,1,1,1,0,1,0
94,37.78146,-122.45474,1,1,0,0,1,0,1,1,1,0,1,0
95,37.78084,-122.4492,1,1,1,0,0,0,1,1,1,0,1,0
96,37.77817,-122.44698,1,1,1,1,1,0,1,1,1,1,1,1
97,37.77262,-122.44586,1,1,1,1,1,1,1,1,1,0,1,0
98,37.77065,-122.44544,0,0,1,0,0,1,1,1,1,1,1,0
99,37.77267,-122.44121,1,1,1,1,1,1,1,1,1,0,1,0
100,37.77321,-122.43686,1,1,1,0,1,0,1,1,1,0,1,0
101,37.77506,-122.43611,1,1,1,1,1,1,1,0,0,0,1,0
102,37.77894,-122.4369,1,1,1,0,1,1,1,0,0,0,1,1
103,37.7816,-122.43744,1,1,1,0,1,1,1,0,0,0,1,0
104,37.78587,-122.4383,1,1,1,0,1,0,1,0,0,0,1,0
105,37.78704,-122.43336,1,1,1,1,1,0,1,1,1,1,1,0
106,37.78875,-122.43044,1,1,1,0,1,0,1,0,0,0,1,0
107,37.79121,-122.43113,1,1,1,1,1,0,1,0,0,0,1,0
