City,State,ZIP,ZillowID,latitude,lontitude,sqft,Price,ZPrice,ZRent,Income,Poverty,Degree,CostofLiving,Age
San Francisco,CA,94109,2094706179,37.789955,-122.427966,,2995,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,96014269,37.788707,-122.418395,1573,7150,1763601,6500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,80731741,37.80551,-122.424157,,799000,887515,3600,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2106685063,37.794519,-122.427737,1115,6200,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2096566253,37.788107,-122.423346,699,950000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2096566254,37.788107,-122.423346,699,984000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095135131,37.78704,-122.420212,,2095,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094857709,37.790493,-122.415346,325,2000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094715297,37.788072,-122.415504,575,1895,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094715751,37.784567,-122.417536,,2700,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094718675,37.788758,-122.417232,,2525,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094718763,37.786776,-122.416269,550,2400,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094718721,37.788156,-122.419032,,1800,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,123598620,37.794658,-122.422325,1626,2699999,1932838,7000,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095196547,37.792447,-122.418506,,3495,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2096656759,37.797373,-122.423358,,2595,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2110517671,37.792901,-122.429118,1000,4700,1134138,4600,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094706179,37.789955,-122.427966,,2995,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,96014269,37.788707,-122.418395,1573,7150,1763601,6500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,80731741,37.80551,-122.424157,,799000,887515,3600,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2106685063,37.794519,-122.427737,1115,6200,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2096566254,37.788107,-122.423346,699,984000,,,66276,13.7,63.2,159.9,36.5
