City,State,ZIP,Price,ZPrice,ZRent,RentSqft,Income,Poverty,Degree,CostofLiving,Age
San Francisco,CA,94109,655162.7087,1578612.777,5488.235537,4.908254163,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94110,801789.3692,1443304.15,4914.841122,5.418674817,90364,13.1,53.9,154.4,36.4
San Francisco,CA,94122,356010.1619,1294733.246,4398.601695,6.726463097,90514,9.7,55.9,155.5,39.5
San Francisco,CA,94112,536727.3085,971749.8348,3833,5.929702527,72545,10.5,28.4,153.6,40.9
San Francisco,CA,94115,866478.487,2271197.579,7188.402299,7.533318063,89811,14.2,66.9,160.1,37.7
San Francisco,CA,94117,351765.329,1706914.305,5383.847458,7.590338703,108429,9.7,72.9,156.2,34.3
San Francisco,CA,94102,226129.7079,1052524.581,4229.678295,5.179626903,25362,26.3,38.8,179.6,41.7
San Francisco,CA,94118,475103.2109,2418659.35,7422.365854,8.201493655,86999,11.9,63.4,162.9,37.2
San Francisco,CA,94121,735983.8571,1746090.659,5670.465909,7.783182247,69813,10.5,53,162.6,42.6
San Francisco,CA,94129,4267.25,,,,163786,4.2,85.7,149.4,29.2
San Francisco,CA,94133,490978.0472,2012761.782,6522.07989,7.893115152,54496,19.1,47.4,172.4,41.2
San Francisco,CA,94108,519804.3123,1518976.255,5448.870748,5.647017566,40435,24.5,41.6,176.6,43.5
San Francisco,CA,94111,319296.3394,1356857.559,4918.097113,4.883553677,91603,14.5,62.8,157.3,46.3
San Francisco,CA,94123,961171.716,3079133.926,9384.243169,8.917815852,124231,5.9,81.3,158.7,34.3
San Francisco,CA,94103,668963.9922,1281298.39,4703.954301,5.854808969,43321,23.8,44.4,166.2,40.4
San Francisco,CA,94104,1300505.556,1864102.56,6837.51506,5.439217401,,21.7,45.4,139,49.2
San Francisco,CA,94105,1213112.565,1429867.254,5215.089385,4.332221818,172570,7.5,83.2,150.8,36.8
San Francisco,CA,94114,800342.2,1918641.252,6186.314961,5.477039223,125265,6.6,77.7,155.2,41.5
