zip,sanitation,peace_quiet,appearance,children_friendly,greenery,walking_condition,coffee,nightlife,dog_friendly,construction,parks,schools,bart_stations,safety,restaurants,similarity
94102,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0
94103,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
94104,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
94105,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0
94107,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0
94108,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0
94109,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0
94110,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0
94111,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0
94112,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0
94114,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0
94115,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0
94116,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
94117,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0
94118,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0
94121,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0
94122,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0
94123,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0
94124,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
94127,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
94131,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0
94132,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
94133,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0
94134,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
